Reporting Period,Managing Agency,PID,Agency Project Name,Current Phase,Completion Date,Completion Date Type,Variance (day),Reason for Forecast Completion Change,Data Date
202305,CUNY,72,BKLYNC-Performing Arts Center,Close-out,07/03/2018,Actual,,,04/26/2023
202305,CUNY,73,BARUCH-17 Lexington Avenue,Close-out,06/01/2016,Actual,,,04/26/2023
202305,CUNY,74,HTSCC-ADA Work,Close-out,12/20/2010,Actual,,,04/26/2023
202305,CUNY,75,HTSCC-HVAC Work,Pre-Design,,Forecast,,,04/26/2023
202309,CUNY,75,HTSCC-HVAC Work,Pre-Design,,Forecast,,,02/02/2024
202401,CUNY,75,HTSCC-HVAC Work,Design,05/12/2025,Forecast,,,05/03/2024
202405,CUNY,75,HTSCC-HVAC Work,Design,05/12/2025,Forecast,0,,05/03/2024
202409,CUNY,75,HTSCC-HVAC Work,Construction,05/12/2025,Forecast,0,,11/15/2024
202501,CUNY,75,HTSCC-HVAC Work,Construction,05/12/2025,Forecast,0,,03/20/2025
202505,CUNY,75,HTSCC-HVAC Work,Close-out,06/06/2024,Actual,-340,,06/25/2025
202305,CUNY,76,BKLYNC-ADA Upgrade,,06/01/2020,Actual,,,04/26/2023
202305,CUNY,77,Central Office - Data Center,Construction,06/01/2023,Forecast,,,04/26/2023
202309,CUNY,77,Central Office - Data Center,Construction,09/30/2024,Forecast,487,,02/02/2024
202401,CUNY,77,Central Office - Data Center,Construction,10/30/2024,Forecast,30,,05/03/2024
202405,CUNY,77,Central Office - Data Center,Construction,10/30/2024,Forecast,0,,05/03/2024
202409,CUNY,77,Central Office - Data Center,Close-out,10/10/2024,Actual,-20,,11/15/2024
202305,CUNY,78,BMCC - Upgrades to Theatres,Design,12/01/2024,Forecast,,,04/26/2023
202309,CUNY,78,BMCC - Upgrades to Theatres,Design,12/01/2024,Forecast,0,,02/02/2024
202401,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2025,Forecast,212,,05/03/2024
202405,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2025,Forecast,0,,05/03/2024
202409,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2027,Forecast,730,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,11/15/2024
202501,CUNY,78,BMCC - Upgrades to Theatres,Design,07/01/2027,Forecast,0,,03/20/2025
